0,12 Gates Brewing Company,80 Earhart Dr Ste 20,Williamsville,New York,14221-7804,7169066600,http://www.12gatesbrewing.com
1,16 Stone Brewpub,9542 Main St,Holland Patent,New York,13354,3158658500,http://www.16stonebrewpub.com
2,1940's Brewing Company,1337 Lincoln Ave Unit 1,Holbrook,New York,11741-2275,6315334838,http://www.1940sbrewingcompany.com
3,2 Way Brewing Company,18 W Main St,Beacon,New York,12508-2512,8452027334,http://www.2waybrewingcompany.com
4,212 Brewing Company,21476 Route 23,Davenport,New York,13750,2123779050,
5,42 North Brewing Company,25 Pine St,East Aurora,New York,14052-1827,7168057500,http://www.42northbrewing.com
6,6 Degrees of Separation,35 Main St,Ossining,New York,10562-4662,9144325969,http://www.6degreesbp.com
7,7 Sins Brewery,10593 W Main Rd,Ripley,New York,14775-9746,7165812090,http://www.7sinsbrewery.com
8,8th Ward Brewing Company,,Poughkeepsie,New York,12603-3401,,
9,Abandon Brewing,2994 Merritt Hill Rd,Penn Yan,New York,14527-8938,5852093276,http://www.abandonbrewing.com
10,Adirondack Pub and Brewery,33 Canada St,Lake George,New York,12845-1603,5186680002,http://www.adkpub.com
11,Adirondack Toboggan Company Microbrewery,202A W Main St,Gouverneur,New York,13642-1334,3157716313,http://www.adktoboggan.net
12,Akwesasne Mohawk Casino Resort,,Akwesasne,New York,13655-1800,5183582222,http://mohawkcasino.com
13,Alewife Brewing Company,514 51st Ave,Long Island City,New York,11101-5879,7189377494,http://www.alewife.beer
14,Alphabet City Brewing Co,96 Avenue C Frnt 4,New York,New York,10009-7055,9143566809,http://www.acbnyc.com
15,Amber Lantern Brewing Company,44 N Main St,Warsaw,New York,14569-1326,5857863559,http://www.amberlanternbrewingcompany.com
16,Andean Brewing,300 Corporate Dr Ste 2,Blauvelt,New York,10913-1162,6464505852,
17,Anheuser-Busch Inc â Baldwinsville,2885 Belgium Rd,Baldwinsville,New York,13027-2706,3156354000,
18,Apex Brewery,,Central Valley,New York,10917-3708,8455493006,http://www.apexbeer.co
19,Argyle Brewing Company,1 Main St,Greenwich,New York,12834-1209,5183387405,http://www.argylebrewing.com
20,Arrowood Farms,236 Lower Whitfield Rd,Accord,New York,12404-5809,8452530389,http://www.arrowoodfarms.com
21,Artisanal Brew Works,41 Geyser Rd,Saratoga Springs,New York,12866-9038,5185942337,http://www.artisanalbrewworks.com
22,Aurora Ale & Lager,1891 State Route 90 N,King Ferry,New York,13081-9719,,http://www.brewaurora.com
23,Ausable Brewing Co,765 Mace Chasm Rd,Keeseville,New York,12944-2425,3152443295,http://ausablebrewing.tumblr.com
24,B9 Beverages Inc,404 5th Ave # 7.055,New York,New York,10018-2797,,
25,Bacchus Brewing,15 Ellis Dr,Dryden,New York,13053-9630,6078448474,http://www.bacchusbrewing.com
26,Bandwagon Brewery,3582 West Ave,Interlaken,New York,14847,6072295608,http://www.bandwagonbeer.com
27,BarkEater Craft Brewery,5411 Shady Ave,Lowville,New York,13367-1601,3157758959,http://www.barkeaterbrew.com
28,Barnshed Brewing,100 Lauman Ln,Hicksville,New York,11801-6574,5163766514,http://www.barnshedbrewing.com
29,Barrage Brewing Co,32 Allen Blvd Ste E,Farmingdale,New York,11735-5625,6313357941,http://www.barragebrewing.com
30,Barrier Brewing Co,3001 New St Ste A2,Oceanside,New York,11572-2747,5165941028,http://www.barrierbrewing.com
31,Battle Hill Brewing Company,4 Charles Street,Fort Ann,New York,12827,5186391033,http://www.battlehillbrewing.com
32,Beer Tree Brew Co,197 Rte 369,Port Crane,New York,13833,,http://www.beertreebrew.com
33,Bellport Brewing Company,,Rocky Point,New York,11778-8986,6319094457,http://www.bellportbrewing.com
34,Big Alice Brewing Company,808 43rd Rd,Long Island City,New York,11101-6820,3476882337,http://www.bigalicebrewing.com
35,Big Ditch Brewing Company,55 E Huron St,Buffalo,New York,14203-1632,7168545050,http://www.bigditchbrewing.com
36,Big Inlet Brewing,,Mayville,New York,14757-9730,7165737564,http://www.biginletbrewing.com
37,Big Slide Brewery,5686 Cascade Road,Lake Placid,New York,12946,5185237844,http://www.bigslidebrewery.com
38,Big Tupper Brewing,12 Cliff Ave,Tupper Lake,New York,12986-1719,5183596350,http://www.bigtupperbrewing.com
39,Binghamton Brewing Co,15 Avenue B,Johnson City,New York,13790-2234,6072383448,http://www.bingbrew.com
40,Birreria @ Eataly,200 5th Ave Fl 14,New York,New York,10010-3302,2125390204,http://www.eatalyny.com
41,Black Forest Brew Haus,2015 New Hwy,Farmingdale,New York,11735-1103,6313919500,http://www.blackforestbrewhaus.com
42,"Blind Bat Brewery LLC, The",420 Harrison Dr,Centerport,New York,11721-1216,6318917909,http://www.BlindBatBrewery.com
43,"Blue Collar Brewery, Inc.",40 Cottage St,Poughkeepsie,New York,12601-2015,8454542739,http://www.thebluecollarbrewery.com
44,Blue Line Brewery,555 Lake Flower Ave,Saranac Lake,New York,12983-2465,5183548114,http://www.bluelinebrew.com
45,Blue Point Brewing Co,161 River Ave,Patchogue,New York,11772-3304,6314756944,http://www.bluepointbrewing.com
46,Blue Point Brewing,225 West Main St,Patchogue,New York,11772,,
47,Bolton Landing Brewing Co.,4933 Lake Shore Dr,Bolton Landing,New York,12814-7757,5186442739,http://www.boltonlandingbrewing.com
48,"Boots Brewing Company, Inc.",89 Public Sq,Watertown,New York,13601-2626,3157670794,http://www.bootsbrew.com
49,"Bottomless Brewing, LLC",3543 E Lake Rd,Geneva,New York,14456-9261,3153254380,http://www.bottomlessbrewing.com
50,"Bradley Farm / RB Brew, LLC",317 Springtown Rd,New Paltz,New York,12561-3020,8452558769,http://www.raybradleyfarm.com
51,Braven Brewing Company,,Brooklyn,New York,11237,9292956673,
52,Braven Brewing Company,362 Jefferson St # 320,Brooklyn,New York,11237-2312,9292956673,http://www.bravenbrewing.com
53,Brewery At The Culinary Institute Of America,1946 Campus Dr,Hyde Park,New York,12538,,
54,Brewery Ommegang,656 County Highway 33,Cooperstown,New York,13326-4737,8005441809,http://www.ommegang.com
55,BrewSA Brewing Co,180 Woodcleft Ave,Freeport,New York,11520-6336,5163772751,http://www.brewsa.com
56,Brick House Brewery and Restaurant,67 W Main St,Patchogue,New York,11772-3001,6314472337,http://www.brickhousebrewery.com
57,Brickyard Brewing Company,436 Center St,Lewiston,New York,14092-1604,7167547227,http://www.brickyardbrewingcompany.com
58,Bridge And Tunnel Brewery,15-35 Decatur St,Ridgewood,New York,11385-5818,3473928593,http://www.bridgeandtunnelbrewery.com
59,Brindle Haus Brewing Company,377 S Union St,Spencerport,New York,14559-1970,5855076665,http://www.brindlehausbrewing.com
60,Broken Bow Brewery,173 Marbledale Rd,Tuckahoe,New York,10707-3117,9142680900,http://www.brokenbowbrewery.com
61,Brooklyn Brewery,79 N 11th St #1 Brewers Row,Brooklyn,New York,11249-1913,7184867422,http://www.brooklynbrewery.com
62,Brown's Brewing Co,50 Factory Hill Rd,North Hoosick,New York,12133,5182732337,http://www.brownsbrewing.com
63,Brown's Brewing Co,417 River St,Troy,New York,12180-2822,5183654846,http://www.brownsbrewing.com
64,Buffalo Brewing Company,314 Myrtle Ave,Buffalo,New York,14204-2058,7168682218,http://www.buffalo-brewing-company.com
65,Buffalo Brewpub,6861 Main St,Buffalo,New York,14221-5929,7166320552,http://www.buffalobrewpub.com
66,Buffalo RiverWorks Brewery,359 Ganson St,Buffalo,New York,14203-3062,7163422292,http://www.buffaloriverworks.com
67,Bull and Barrel Brew Pub,988 Route 22,Brewster,New York,10509-1576,8452782855,http://www.bullandbarrelbrewpub.com
68,Bullthistle Brewing Co.,45 S Main St,Sherburne,New York,13460-9202,6076742337,
69,Buried Acorn Brewing Company,,Syracuse,New York,13204-1156,3155521499,http://www.buriedacorn.com
70,Buster's Brew Pub,Euphrates River Valley Road Bldg P-4350,Fort Drum,New York,13602,3157721900,http://www.drummwr.com
71,Butternuts Beer,4021 State Highway 51,Garrattsville,New York,13342-1705,6072635070,http://www.butternutsbeer.com
72,Cape Vincent Brewing Co,296 Broadway St,Cape Vincent,New York,13618,,http://www.capevincentbrewing.com
73,Captain Lawrence Brewing Co,444 Saw Mill River Rd Ste 100,Elmsford,New York,10523-1031,9147412337,http://www.captainlawrencebrewing.com
74,Carey's Brew House,58 Bridge St,Corning,New York,14830-2239,6073775651,http://www.careysbrewhouse.com
75,Catskill Brewery,672 Old Route 17,Livingston Manor,New York,12758-0033,8454391232,http://www.catskillbrewery.com
76,Cave Mountain Brewing Co,5359 State Route 23,Windham,New York,12496-5906,5187349222,http://www.cavemountainbrewing.com
77,CB Craft Brewers,300 Village Square Blvd,Honeoye Falls,New York,14472-1180,5856244386,http://www.cbcraftbrewers.com
78,CH Evans Brewing Co/Albany Pump Station,19 Quackenbush Sq,Albany,New York,12207-2311,5184479000,http://www.evansale.com
79,Chatham Brewing LLC,59 Main St,Chatham,New York,12037-1249,5186970202,http://www.chathambrewing.com
80,Chelsea Craft Brewing Co Llc,463 E 173rd St,Bronx,New York,10457-8105,7184848850,http://www.chelseacraftbrewing.com
81,Cheshmeh Brewing Co,,White Plains,New York,10605-3517,,
82,Circa Brewing Co,141 Lawrence St,Brooklyn,New York,11201,7188580055,http://www.circabrewing.co
83,CL River Outpost Brewing,5 John Walsh Blvd,Peekskill,New York,10566,,http://riveroutpostbrewing.com
84,Clemson Bros. Brewery,22 Cottage St,Middletown,New York,10940-5059,8457754638,http://www.clemsonbrewing.com
85,Climbing Bines Craft Ale Company,511 Hanson Point Rd,Penn Yan,New York,14527-9718,6077450221,http://www.climbingbineshopfarm.com
86,College Point Brewery,,College Point,New York,11356-2715,,
87,Common Roots Brewing Company,58 Saratoga Ave,South Glens Falls,New York,12803-4837,5184098248,http://www.commonrootsbrewing.com
88,Community Beer Works,15 Lafayette Ave,Buffalo,New York,14213-1344,7167594677,http://www.communitybeerworks.com
89,Coney Island Beer,1904 Surf Ave,Brooklyn,New York,11224-2410,8184518452,http://www.coneyislandbeer.com
90,Coopers Cave Ale Co,2 Sagamore St,Glens Falls,New York,12801-3179,5187920007,http://www.cooperscaveale.com
91,Cooperstown Brewing Co,41 Browne St.,Oneonta,New York,13820,,
92,Copper City Brewing Company,1111 Oneida St,Rome,New York,13440-,3152818987,http://www.coppercitybrewing.com
93,Copper Turret Restaurant and Brewhouse,17 W Main St,Morrisville,New York,13408-,3158257910,http://www.copperturret.com
94,Cortland Beer Company,16 Court St,Cortland,New York,13045-2604,6076624389,http://www.cortlandbeer.com
95,Council Rock Brewery,4861 State Highway 28 Ste 3,Cooperstown,New York,13326-5229,6076433016,http://www.councilrockbrewery.com
96,Country Town Farm Brewery,,Friendship,New York,14739,5858088995,
97,Cousins Revolution Ale Works,1582 US 9,Wappingers Falls,New York,12590,8452932739,http://www.cousinsrevolution.com
98,Crafty Ales and Lagers,2 Exchange St,Phelps,New York,14532-1010,3153321606,http://www.drinkcraftyales.com
99,Crazy Williez Brewery,546 Silver St,Ilion,New York,13357,,
100,Critz Farms Brewing & Cider Co.,3232 Rippleton Rd,Cazenovia,New York,13035-9693,3156623355,http://www.critzfarms.com
101,Crooked Ladder Brewery,70 W Main St,Riverhead,New York,11901-2802,6319025335,http://www.crookedladderbrewingco.com
102,Crossroads Brewing Co,21 2nd St,Athens,New York,12015-1327,5189452337,http://www.crossroadsbrewingco.com
103,Davidson Brothers Restaurant and Brewery,184 Glen St Rte 9,Glens Falls,New York,12801-0409,5187439026,http://www.davidsonbrothers.com
104,Death Avenue,315 10th Ave B/W 28th & 29th St.,New York,New York,10001-1416,2126958080,http://www.deathave.com
105,Decadent Ales,607A E Boston Post Rd,Mamaroneck,New York,10543-,8005981085,http://www.decadentales.com
106,Defiant Brewing Co,6 E Dexter Plz,Pearl River,New York,10965-2360,8459208602,http://www.defiantbrewing.com
107,Destination Unknown Beer Company,1 S Chicago Ave Unit C,Bay Shore,New York,11706-7000,6314852232,http://www.destinationunknownbeercompany.com
108,District 96 Beer Factory,395 S Main St,New City,New York,10956,8454992409,http://www.district96beer.com
109,Diversion Brewing Co,729 Wyncoop Creek Rd,Chemung,New York,14825-9755,6075429168,http://www.diversionbrewing.com
110,Druthers Brewing Co,381 Broadway,Saratoga Springs,New York,12866-3111,5183065275,http://www.druthersbrewing.com
111,Dublin Corners Farm Brewery,1906 Main St,Linwood,New York,14486-9707,5855384796,http://www.dublincornersfarm.com
112,Duncan's Abbey,,Tarrytown,New York,10591,,http://www.duncansabbey.com
113,Dyckman Beer Co,,Bronx,New York,10451,,http://www.dyckmanbeerco.com
114,Eastern Front Brewing Co,425 Westphalin Rd,Mattituck,New York,11952,6319051535,http://www.facebook.com/easternfrontbrewing/
115,Eastwood Brewing Company,108 Walter Dr,Syracuse,New York,13206-2357,,http://www.facebook.com/eastwoodbrewingcompany
116,Eli Fish Brewing Company,109 Main St,Batavia,New York,14020-2110,5858150401,http://www.elifishbrewing.com
117,Ellicottville Brewing Co,28 Monroe St,Ellicottville,New York,14731,7166992537,http://www.ellicottvillebrewing.com
118,Empire Brewing Co,120 Walton St,Syracuse,New York,13202-1571,3156552337,http://www.empirebrew.com
119,Empire City Beer Company,,New York,New York,10012,9178040571,http://www.hitemhard.com
120,Empire Farm Brewery,33 Rippleton Rd,Cazenovia,New York,13035-9601,3156552337,http://www.empirebrew.com
121,Equilibrium Brewery,22 Henry Street,Middletown,New York,10940,8457754216,http://www.eqbrew.com
122,Erie Canal Brewing Company,135 S Peterboro St,Canastota,New York,13032-1409,3155105001,http://www.eriecanalbrewingcompany.com
123,Fairport Brewing Co,99 S Main St,Fairport,New York,14450-2100,5857520613,http://www.fairportbrewing.com
124,Fairport Brewing Co,1000 Turk Hill Rd Ste 298,Fairport,New York,14450-8755,5857520613,
125,Felicia's Atomic Brewhouse and Bakery,45 E Main St,Trumansburg,New York,14886,6072094229,http://www.atomicbrewhouse.com
126,Ferrari Beer Company,160 Ashford Ave,Dobbs Ferry,New York,10522-1906,9146937340,http://www.ferraribeer.com
127,Fifth Frame Brewing Co.,155 Saint Paul St,Rochester,New York,14604-1144,7168128897,http://www.fifthframe.co
128,Fifth Hammer Brewing Company,10-28 46th Ave,Long Island City,New York,11101-5217,7186632084,http://www.fifthhammerbrewing.com
129,Finback Brewery,78-01 77th Ave,Queens,New York,11385-7518,7186288600,http://www.finbackbrewery.com
130,Finger Lakes Beer Co,8462 State Route 54,Hammondsport,New York,14840-9795,6075693311,
131,Fire Island Beer Co,25 Drexel Dr,Bay Shore,New York,11706-2234,,http://www.fireislandbeer.com
132,Five & 20 Spirits and Brewing,8398 W Route 20,Westfield,New York,14787-9748,7167939463,http://www.fiveand20.com
133,Five Boroughs Brewing Co,215 47th St,Brooklyn,New York,11220-1009,7183558575,http://www.fiveboroughs.com
134,"Flagship Brewery, LLC.",40 Minthorne St,Staten Island,New York,10301-3241,7184485284,http://www.flagshipbrewery.nyc
135,Fleur De Lis Brew Works,3630 State Route 414,Seneca Falls,New York,13148-9202,3156513260,http://www.fleurdelisbrewworks.com
136,Flying Belgian Brewery,211 Main St,Farmingdale,New York,11735-2675,8184577548,http://www.flyingbelgianbrewery.com
137,Flying Bison Brewing Co,840 Seneca St,Buffalo,New York,14210-1414,7168731557,http://www.flyingbisonbrewing.com
138,Folksbier,101 Luquer St # 103,Brooklyn,New York,11231-3308,,http://www.folksbier.com
139,Foothill Hops Farm Brewery,5024 Bear Path Rd,Munnsville,New York,13409-4114,3154952451,http://www.foothillhops.com
140,Foreign Objects Beer Company,,New Paltz,New York,12561-3401,6092871397,http://www.foreignobjectsbeer.com
141,Fort Orange Brewing,450 N Pearl St,Albany,New York,12204-1511,5189923103,http://www.fortorangebrewing.com
142,Four Beasts Brewery,,Brooklyn,New York,11215-2305,3478863834,
143,Four Mile Brewing,202 E Green St,Olean,New York,14760-3606,7163732337,http://www.fourmilebrewing.com
144,Fox N Hare Brewing Company,46 Front St,Port Jervis,New York,12771-2415,3172095767,http://www.foxnhare-brewing.com
145,Freight Yard Brewing LLC,4975 State Route 31,Clay,New York,13041,3158342529,http://www.freightyardbrewing.com
146,From the Ground Brewery,245 Guski Rd,Red Hook,New York,12571-3316,8453098100,http://www.fromthegroundbrewery.com
147,Full Boar Craft Brewery,628 S Main St Ste C,North Syracuse,New York,13212-3687,3158024784,http://www.fullboarbrew.com
148,Fulton Chain Craft Brewery,127 North St,Old Forge,New York,13420-3300,3155250222,http://www.fccbrewery.com
149,Gael Brewing Co,4180 State Route 14,Geneva,New York,14456-9753,3152200190,http://www.gaelbrewing.com
150,Galaxy Brewing Co,"41 Court St, 153 & 157",Binghamton,New York,13901-3104,6072174815,http://www.galaxybrewingco.com
151,Garden of Eve Farm Brewery,4558 Sound Ave,Riverhead,New York,11901-1207,6317228777,http://www.facebook.com/farmbrewery
152,Garland City Beer Works,,Watertown,New York,13601-2423,3157832577,http://www.garlandcitybeerworks.com
153,Garvies Point Brewery,1 Garvies Point Rd,Glen Cove,New York,11542-2821,5168151999,http://www.garviespointbrewery.com
154,G.C. Starkey Beer Company,68 Castle St Apt 1C,Geneva,New York,14456-2648,6076784043,http://www.starkeyslookout.com
155,Gene McCarthy's/Old First Ward Brewing Company,73 Hamburg St,Buffalo,New York,14204-2719,7168558948,http://www.genemccarthys.com
156,Genesee Brew House / North American Breweries,25 Cataract St,Rochester,New York,14605,5852639200,http://www.geneseebeer.com
157,Gentle Giant Brewing Company,7 N Main St,Pearl River,New York,10965-2318,,http://gentlegiantbrewing.com/
158,Gilded Otter Brewing Co,3 Main St,New Paltz,New York,12561-1742,8452561700,http://www.gildedotter.com
159,"Glenmere Brewing Co, Inc",55 Maple Ave,Florida,New York,10921-1124,8456511939,http://www.glenmerebrewingco.com
160,Good Nature Farm Brewery,1727 State Route 12b,Hamilton,New York,13346-2268,3158242337,http://goodnaturebrewing.com
161,Gordon Biersch Brewery Restaurant - Buffalo,Store P102 Galleria Dr,Cheektowaga,New York,14225-5408,7166830050,http://www.craftworksrestaurants.com
162,Gordon Biersch Brewery Restaurant - Syracuse,304 Hiawatha Blvd West #J-101,Syracuse,New York,13290,3154780990,http://www.craftworksrestaurants.com
163,Great Adirondack Brewing Company,2442 Main St,Lake Placid,New York,12946-3300,5185231629,http://www.adksteakandseafood.com
164,Great Flats Brewing,151 Lafayette St,Schenectady,New York,12305-2051,5182800232,http://www.greatflatsbrewing.com
165,Great Life Brewing,,West Park,New York,12493,8453313700,http://www.greatlifebrewing.com
166,Great South Bay Brewery,25 Drexel Dr,Bay Shore,New York,11706-2234,6313928472,http://www.greatsouthbaybrewery.com
167,Green Wolf Brewing Co,315 Main St,Middleburgh,New York,12122-,5188276444,http://www.greenwolfbrew.com
168,Greenpoint Beer,7 N 15th St,Brooklyn,New York,11222-2838,9177501541,http://www.greenpointbeer.com
169,"Greenport Harbor Brewing Co, LLC",42155 Main Rd,Peconic,New York,11958-1502,6315139019,http://www.harborbrewing.com
170,Griffs Brewery,5324 W Ridge Rd,Spencerport,New York,14559-1101,5856173843,http://www.griffsbrewery.com
171,Grimm Artisanal Ales,990 Metropolitan Ave,Brooklyn,New York,11211-2607,,http://GrimmAles.com
172,Grist Iron Brewing Co.,4880 State Route 414,Burdett,New York,14818-9729,6078822739,http://www.gristironbrewing.com
173,Gun Hill Brewing Co,3227 Laconia Ave,Bronx,New York,10469-1403,7188810010,http://www.gunhillbrewing.com
174,Hamburg Brewing Company,6553 Boston State Rd,Hamburg,New York,14075-6630,7166493249,http://www.hamburgbrewing.com
175,Hank Hudson Brewing At Fairways of Halfmoon,17 Johnson Rd,Mechanicville,New York,12118-3505,5186641578,
176,Harbor Head Brewing Co,81 Fort Salonga Rd,Northport,New York,11768-2889,6318155588,http://www.harborheadbrew.com
177,Harlem Blue Beer,2214 Frederick Douglass Blvd Ste 267,New York,New York,10026-1123,,http://www.harlemblue.com
178,Harlem Brewing Co,2 W 123rd St,New York,New York,10027-5623,8885596735,http://www.harlembrewingcompany.com
179,Heartland Brewery,35 Union Sq W Frnt 1,New York,New York,10003-3200,2126453400,http://www.heartlandbrewery.com
180,Heavily Brewing Company,2471 Hayes Rd,Montour Falls,New York,14865,6075352739,http://www.heavilybrewingcompany.com
181,Helderberg Brewery,63 Huyck Rd,Rensselaerville,New York,12147-2108,5187975100,http://careyinstitute.org/programs/sustainable-communities/helderberg-brewery-taproom/
182,Helderberg Mountain Brewing Company,83 Main St,East Berne,New York,12059-2020,5189373606,http://www.helderbergmountainbrewingcompany.com
183,Heroes Brewing Company,543 Atlantic Ave,Rochester,New York,14609,5854345472,https://heroesbrewco.square.site
184,High Perch Brewing Company,1417 Kania Rd,Amsterdam,New York,12010-6610,,
185,Hill Country Farm Brewery,,Jamesville,New York,13078-9637,3157667885,http://Hillcountryfarmbrewery.com
186,Hofbrauhaus Buffalo,,Buffalo,New York,14221-4616,7165631781,http://www.facebook.com/Hofbrauhaus-Buffalo-476335022466386/
187,Honey Hollow Brewery,376 E. Honey Rd.,Earlton,New York,12058,5189665560,http://www.honeyhollowbrewery.com
188,Hop Barn Brewing,94 Maple Ave,Greenville,New York,12083-3311,5189564762,http://hopbarnbrewing.com
189,Hopshire Farm and Brewery,1771 Dryden Rd,Freeville,New York,13068-,6072791243,http://www.hopshire.com
190,Hudson Ale Works,17 Milton Ave,Highland,New York,12528-1409,8453842531,http://www.hudsonaleworks.com
191,Hudson Valley Brewery,7 E Main St,Beacon,New York,12508-3301,8452189156,http://www.hudsonvalleybrewery.com
192,Hyde Park Brewing Co,4076 Albany Post Rd,Hyde Park,New York,12538-1934,8452298277,http://www.hydeparkbrewing.com
193,Iconyc Brewing Company,45-13 34th Ave,Long Island City,New York,11101-1041,3473421360,http://www.iconycbrewing.com
194,In-Law Brewing Co,5868 County Route 14,Chase Mills,New York,13621-3102,,http://www.in-lawbrewingcompany.com
195,Indian Ladder Farmstead Brewery and Cidery,342 Altamont Rd,Altamont,New York,12009-3500,5185771484,http://www.ilfcb.com
196,Industrial Arts Brewing Co.,55 W Railroad Ave # 25W,Garnerville,New York,10923-1261,8459428776,http://www.industrialartsbrewing.com
197,Interboro Spirits And Ales,942 Grand St,Brooklyn,New York,11211-2707,6462455417,http://www.interboro.nyc
198,Irish Mafia Brewing Co,2971 Whalen Rd,Bloomfield,New York,14469-9786,5852715172,http://www.irishmafiabrewing.com
199,Iron Flamingo Brewery,196 Baker St,Corning,New York,14830-2074,6079364766,http://www.ironflamingobrewery.com
200,Iron Tug Brewing,371 Park Ave,Rochester,New York,14607,5857385606,http://www.irontugbrewing.com
201,Island To Island Brewery,642 Rogers Ave,Brooklyn,New York,11226-1502,3479741985,http://www.islandtoislandbrewery.com
202,Ithaca Beer Co,122 Ithaca Beer Dr,Ithaca,New York,14850-8813,6072730766,http://www.ithacabeer.com
203,Jamesport Farm Brewery,5873 Sound Ave,Riverhead,New York,11901-5611,6317228111,http://www.jamesportbrewhouse.com
204,Jamestown Brewing Company,,Jamestown,New York,14701-5110,7168644257,
205,K2 Brothers Brewing,1221 Empire Blvd,Rochester,New York,14609-5946,5854131997,http://www.K2Brewing.com
206,Keegan Ales,20 Saint James St,Kingston,New York,12401-4534,8453312739,http://www.keeganales.com
207,Keg & Lantern Brewing Co,97 Nassau Ave,Brooklyn,New York,11222-3081,7183895050,http://www.kegandlanternbrooklyn.com
208,KelSo Beer Company,529 Waverly Ave,Brooklyn,New York,11238-2701,,http://www.kelsoofbrooklyn.com
